datetime,value
2018-12-09 01:00:00+01:00,23275.560201410703
2018-12-09 02:00:00+01:00,22007.61169084375
2018-12-09 03:00:00+01:00,21239.492354406622
2018-12-09 04:00:00+01:00,20911.511273017706
2018-12-09 05:00:00+01:00,20986.05251930117
2018-12-09 06:00:00+01:00,21186.44694324542
2018-12-09 07:00:00+01:00,22011.177176631878
2018-12-09 08:00:00+01:00,22689.38845146419
2018-12-09 09:00:00+01:00,24484.1264132192
2018-12-09 10:00:00+01:00,26208.308899711425
2018-12-09 11:00:00+01:00,26928.430256997133
2018-12-09 12:00:00+01:00,26731.127214743658
2018-12-09 13:00:00+01:00,26948.82009000311
2018-12-09 14:00:00+01:00,26963.38119869596
2018-12-09 15:00:00+01:00,25984.85393050084
2018-12-09 16:00:00+01:00,25275.63316244689
2018-12-09 17:00:00+01:00,25593.75020642504
2018-12-09 18:00:00+01:00,27938.277396737183
2018-12-09 19:00:00+01:00,29206.98913110928
2018-12-09 20:00:00+01:00,30530.599396661986
2018-12-09 21:00:00+01:00,30627.80907608192
2018-12-09 22:00:00+01:00,29448.3773896568
2018-12-09 23:00:00+01:00,27335.553070372127
2018-12-10 00:00:00+01:00,25012.798330465146
2018-12-10 01:00:00+01:00,23302.210785800846
2018-12-10 02:00:00+01:00,22389.194149964813
2018-12-10 03:00:00+01:00,21942.01869627547
2018-12-10 04:00:00+01:00,21933.315451197363
2018-12-10 05:00:00+01:00,22615.118769406396
2018-12-10 06:00:00+01:00,25472.438871141323
2018-12-10 07:00:00+01:00,30215.040197744023
2018-12-10 08:00:00+01:00,33305.90446236572
2018-12-10 09:00:00+01:00,34285.18218558987
2018-12-10 10:00:00+01:00,34626.630397246736
2018-12-10 11:00:00+01:00,34478.747734054115
2018-12-10 12:00:00+01:00,34026.28586895031
2018-12-10 13:00:00+01:00,33981.167617565945
2018-12-10 14:00:00+01:00,32983.23039067598
2018-12-10 15:00:00+01:00,32457.64749256605
2018-12-10 16:00:00+01:00,32357.204271328745
2018-12-10 17:00:00+01:00,33001.38406639754
2018-12-10 18:00:00+01:00,34887.20378132211
2018-12-10 19:00:00+01:00,35482.0521303222
2018-12-10 20:00:00+01:00,35780.97637677574
2018-12-10 21:00:00+01:00,35089.911186958416
2018-12-10 22:00:00+01:00,32309.47394419307
2018-12-10 23:00:00+01:00,29234.30910120565
2018-12-11 00:00:00+01:00,27146.870969811287
2018-12-11 01:00:00+01:00,25356.45202905974
2018-12-11 02:00:00+01:00,24012.56271043805
2018-12-11 03:00:00+01:00,23617.821490380844
2018-12-11 04:00:00+01:00,23503.163587201423
2018-12-11 05:00:00+01:00,24071.39845762767
2018-12-11 06:00:00+01:00,26503.95165656491
2018-12-11 07:00:00+01:00,31162.42943840247
2018-12-11 08:00:00+01:00,34252.05554355699
2018-12-11 09:00:00+01:00,35005.47560456692
2018-12-11 10:00:00+01:00,35189.89395092714
2018-12-11 11:00:00+01:00,35128.735984872095
2018-12-11 12:00:00+01:00,34747.028536735386
2018-12-11 13:00:00+01:00,34624.78042237573
2018-12-11 14:00:00+01:00,33616.40612601973
2018-12-11 15:00:00+01:00,33333.58641169618
2018-12-11 16:00:00+01:00,33320.61327956183
2018-12-11 17:00:00+01:00,33998.47234963561
2018-12-11 18:00:00+01:00,35811.59981478665
2018-12-11 19:00:00+01:00,36231.319047559635
2018-12-11 20:00:00+01:00,36400.225026569075
2018-12-11 21:00:00+01:00,35546.38921581467
2018-12-11 22:00:00+01:00,32907.82817999839
2018-12-11 23:00:00+01:00,29811.402337010742
2018-12-12 00:00:00+01:00,27412.187548879403
2018-12-12 01:00:00+01:00,25561.077015537827
2018-12-12 02:00:00+01:00,24379.810690628216
2018-12-12 03:00:00+01:00,23901.879691550952
2018-12-12 04:00:00+01:00,23942.97171050715
2018-12-12 05:00:00+01:00,24412.629808344373
2018-12-12 06:00:00+01:00,26823.89637430132
2018-12-12 07:00:00+01:00,31475.69883651483
2018-12-12 08:00:00+01:00,34324.06568315963
2018-12-12 09:00:00+01:00,35115.496611537565
2018-12-12 10:00:00+01:00,35591.080080961714
2018-12-12 11:00:00+01:00,35538.89347713516
2018-12-12 12:00:00+01:00,35279.25521636999
2018-12-12 13:00:00+01:00,35015.94803392349
2018-12-12 14:00:00+01:00,34236.89618239822
2018-12-12 15:00:00+01:00,33911.401188032
2018-12-12 16:00:00+01:00,33943.16365739495
2018-12-12 17:00:00+01:00,34495.92317215245
2018-12-12 18:00:00+01:00,36120.522289878056
2018-12-12 19:00:00+01:00,36471.90674999107
2018-12-12 20:00:00+01:00,36686.00348583248
2018-12-12 21:00:00+01:00,35844.13167688019
2018-12-12 22:00:00+01:00,33146.596584487386
2018-12-12 23:00:00+01:00,29928.68532757343
2018-12-13 00:00:00+01:00,27699.208027512672
2018-12-13 01:00:00+01:00,25860.3417262283
2018-12-13 02:00:00+01:00,24544.677181683306
2018-12-13 03:00:00+01:00,23905.643468115497
2018-12-13 04:00:00+01:00,23914.713386492553
2018-12-13 05:00:00+01:00,24670.39598504256
2018-12-13 06:00:00+01:00,27071.233347338024
2018-12-13 07:00:00+01:00,31528.476918227836
2018-12-13 08:00:00+01:00,34371.301954139766
2018-12-13 09:00:00+01:00,35365.957390726275
2018-12-13 10:00:00+01:00,36077.264754553646
2018-12-13 11:00:00+01:00,36263.019086570675
2018-12-13 12:00:00+01:00,36245.59879197979
2018-12-13 13:00:00+01:00,36223.90220089784
2018-12-13 14:00:00+01:00,35117.56975409931
2018-12-13 15:00:00+01:00,34609.29633945245
2018-12-13 16:00:00+01:00,34623.48087470229
2018-12-13 17:00:00+01:00,34890.4128884604
2018-12-13 18:00:00+01:00,36471.19715463906
2018-12-13 19:00:00+01:00,37065.52359380223
2018-12-13 20:00:00+01:00,37145.7563762204
2018-12-13 21:00:00+01:00,36353.19191885805
2018-12-13 22:00:00+01:00,33555.10789252014
2018-12-13 23:00:00+01:00,30606.643618954073
2018-12-14 00:00:00+01:00,28468.58810662453
2018-12-14 01:00:00+01:00,26430.31273892109
2018-12-14 02:00:00+01:00,24993.936695417047
2018-12-14 03:00:00+01:00,24463.064370302116
2018-12-14 04:00:00+01:00,24243.786730033164
2018-12-14 05:00:00+01:00,24897.675035750242
2018-12-14 06:00:00+01:00,27200.326337088958
2018-12-14 07:00:00+01:00,31704.096684788372
2018-12-14 08:00:00+01:00,34635.67885744591
2018-12-14 09:00:00+01:00,35565.674362739366
2018-12-14 10:00:00+01:00,36036.80143047505
2018-12-14 11:00:00+01:00,35954.60716181873
2018-12-14 12:00:00+01:00,35483.780032483235
2018-12-14 13:00:00+01:00,35222.46862123221
2018-12-14 14:00:00+01:00,34017.34578564402
